2025-02-09 00:01:24.812311 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.857186 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.857186 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.861916 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.912378 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.919977 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.920186 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.924722 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.924722 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.924722 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.924988 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 79
2025-02-09 00:01:24.927717 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.933173 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.935889 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:25.060028 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:25.067044 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:25.185572 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:25.191210 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:25.307795 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:25.309283 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:25.309441 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:25.370000 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:25.378447 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:25.435357 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:25.445126 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.068141 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.068371 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.076149 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.076149 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.076149 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.076738 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:26.085645 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.123602 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.127200 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.127619 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.131038 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.131496 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:26.141520 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
